#Bulken (Vangsvatnet), 62.5.0, Vannføring, time
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2024-06-06 11:00:00Z;149,98;0;3
2024-06-06 12:00:00Z;149,3946;0;3
2024-06-06 13:00:00Z;148,4084;0;3
2024-06-06 14:00:00Z;147,5054;0;3
2024-06-06 15:00:00Z;146,3451;0;3
2024-06-06 16:00:00Z;145,4874;0;3
2024-06-06 17:00:00Z;144,6325;0;3
2024-06-06 18:00:00Z;143,463;0;3
2024-06-06 19:00:00Z;142,4752;0;3
2024-06-06 20:00:00Z;141,53;0;3
2024-06-06 21:00:00Z;140,5877;0;3
2024-06-06 22:00:00Z;139,6289;0;3
2024-06-06 23:00:00Z;138,5562;0;3
2024-06-07 00:00:00Z;137,41;0;3
2024-06-07 01:00:00Z;135,9591;0;3
2024-06-07 02:00:00Z;134,6688;0;3
2024-06-07 03:00:00Z;133,327;0;3
2024-06-07 04:00:00Z;132,0675;0;3
2024-06-07 05:00:00Z;130,7188;0;3
2024-06-07 06:00:00Z;129,3576;0;3
2024-06-07 07:00:00Z;127,9844;0;3
2024-06-07 08:00:00Z;126,5616;0;3
2024-06-07 09:00:00Z;125,4436;0;3
2024-06-07 10:00:00Z;124,2564;0;3
2024-06-07 11:00:00Z;122,9454;0;3
2024-06-07 12:00:00Z;121,6772;0;3
2024-06-07 13:00:00Z;120,6346;0;3
2024-06-07 14:00:00Z;119,015;0;3
2024-06-07 15:00:00Z;117,4589;0;3
2024-06-07 16:00:00Z;116,2531;0;3
2024-06-07 17:00:00Z;115,0536;0;3
2024-06-07 18:00:00Z;113,5402;0;3
2024-06-07 19:00:00Z;112,0354;0;3
2024-06-07 20:00:00Z;110,8558;0;3
2024-06-07 21:00:00Z;109,7346;0;3
2024-06-07 22:00:00Z;108,6188;0;3
2024-06-07 23:00:00Z;107,491;0;3
2024-06-08 00:00:00Z;106,2482;0;3
2024-06-08 01:00:00Z;104,9092;0;3
2024-06-08 02:00:00Z;103,68;0;3
2024-06-08 03:00:00Z;102,5762;0;3
2024-06-08 04:00:00Z;101,4445;0;3
2024-06-08 05:00:00Z;100,0337;0;3
2024-06-08 06:00:00Z;98,73129;0;3
2024-06-08 07:00:00Z;97,68552;0;3
2024-06-08 08:00:00Z;96,31578;0;3
2024-06-08 09:00:00Z;95,05238;0;3
2024-06-08 10:00:00Z;94,1387;0;3
2024-06-08 11:00:00Z;92,96999;0;3
2024-06-08 12:00:00Z;92,08169;0;3
2024-06-08 13:00:00Z;90,95731;0;3
2024-06-08 14:00:00Z;89,7591;0;3
2024-06-08 15:00:00Z;88,9325;0;3
2024-06-08 16:00:00Z;88,12578;0;3
2024-06-08 17:00:00Z;87,08656;0;3
2024-06-08 18:00:00Z;86,30278;0;3
2024-06-08 19:00:00Z;85,64719;0;3
2024-06-08 20:00:00Z;84,9009;0;3
2024-06-08 21:00:00Z;84,08019;0;3
2024-06-08 22:00:00Z;83,41701;0;3
2024-06-08 23:00:00Z;82,71035;0;3
2024-06-09 00:00:00Z;82,06755;0;3
2024-06-09 01:00:00Z;81,3662;0;3
2024-06-09 02:00:00Z;80,71318;0;3
2024-06-09 03:00:00Z;79,92667;0;3
2024-06-09 04:00:00Z;79,26395;0;3
2024-06-09 05:00:00Z;78,4542;0;3
2024-06-09 06:00:00Z;77,61842;0;3
2024-06-09 07:00:00Z;76,80153;0;3
2024-06-09 08:00:00Z;76,0918;0;3
2024-06-09 09:00:00Z;75,45879;0;3
2024-06-09 10:00:00Z;74,69646;0;3
2024-06-09 11:00:00Z;74,09776;0;3
2024-06-09 12:00:00Z;73,61758;0;3
2024-06-09 13:00:00Z;73,18229;0;3
2024-06-09 14:00:00Z;72,92167;0;3
2024-06-09 15:00:00Z;72,70485;0;3
2024-06-09 16:00:00Z;72,61819;0;3
2024-06-09 17:00:00Z;72,80601;0;3
2024-06-09 18:00:00Z;73,05192;0;3
2024-06-09 19:00:00Z;73,38524;0;3
2024-06-09 20:00:00Z;73,70466;0;3
2024-06-09 21:00:00Z;73,85003;0;3
2024-06-09 22:00:00Z;73,93735;0;3
2024-06-09 23:00:00Z;73,86459;0;3
2024-06-10 00:00:00Z;73,82095;0;3
2024-06-10 01:00:00Z;73,61745;0;3
2024-06-10 02:00:00Z;73,38518;0;3
2024-06-10 03:00:00Z;73,1388;0;3
2024-06-10 04:00:00Z;72,82047;0;3
2024-06-10 05:00:00Z;72,54612;0;3
2024-06-10 06:00:00Z;72,11391;0;3
2024-06-10 07:00:00Z;71,63985;0;3
2024-06-10 08:00:00Z;71,09567;0;3
2024-06-10 09:00:00Z;70,62463;0;3
2024-06-10 10:00:00Z;70,15511;0;3
2024-06-10 11:00:00Z;69,63033;0;3
2024-06-10 12:00:00Z;69,24852;0;3
2024-06-10 13:00:00Z;68,83952;0;3
2024-06-10 14:00:00Z;68,57214;0;3
2024-06-10 15:00:00Z;68,24919;0;3
2024-06-10 16:00:00Z;67,9269;0;3
2024-06-10 17:00:00Z;67,73104;0;3
2024-06-10 18:00:00Z;67,78694;0;3
2024-06-10 19:00:00Z;67,81491;0;3
2024-06-10 20:00:00Z;67,91284;0;3
2024-06-10 21:00:00Z;68,02485;0;3
2024-06-10 22:00:00Z;68,16502;0;3
2024-06-10 23:00:00Z;68,47379;0;3
2024-06-11 00:00:00Z;68,79723;0;3
2024-06-11 01:00:00Z;69,05087;0;3
2024-06-11 02:00:00Z;69,36146;0;3
2024-06-11 03:00:00Z;69,58772;0;3
2024-06-11 04:00:00Z;69,71513;0;3
2024-06-11 05:00:00Z;69,84269;0;3
2024-06-11 06:00:00Z;70,02711;0;3
2024-06-11 07:00:00Z;70,04129;0;3
2024-06-11 08:00:00Z;69,92778;0;3
2024-06-11 09:00:00Z;69,72932;0;3
2024-06-11 10:00:00Z;69,57359;0;3
2024-06-11 11:00:00Z;69,2767;0;3
2024-06-11 12:00:00Z;69,02267;0;3
2024-06-11 13:00:00Z;68,71278;0;3
2024-06-11 14:00:00Z;68,43171;0;3
2024-06-11 15:00:00Z;67,95498;0;3
2024-06-11 16:00:00Z;67,66125;0;3
2024-06-11 17:00:00Z;67,25669;0;3
2024-06-11 18:00:00Z;66,93652;0;3
2024-06-11 19:00:00Z;66,79752;0;3
2024-06-11 20:00:00Z;66,68646;0;3
2024-06-11 21:00:00Z;66,57549;0;3
2024-06-11 22:00:00Z;66,47845;0;3
2024-06-11 23:00:00Z;66,46458;0;3
2024-06-12 00:00:00Z;66,47845;0;3
2024-06-12 01:00:00Z;66,56162;0;3
2024-06-12 02:00:00Z;66,57549;0;3
2024-06-12 03:00:00Z;66,58936;0;3
2024-06-12 04:00:00Z;66,68647;0;3
2024-06-12 05:00:00Z;66,79752;0;3
2024-06-12 06:00:00Z;66,90868;0;3
2024-06-12 07:00:00Z;67,01991;0;3
2024-06-12 08:00:00Z;67,14516;0;3
2024-06-12 09:00:00Z;67,35415;0;3
2024-06-12 10:00:00Z;67,54943;0;3
2024-06-12 11:00:00Z;67,60529;0;3
2024-06-12 12:00:00Z;67,77297;0;3
2024-06-12 13:00:00Z;67,80092;0;3
2024-06-12 14:00:00Z;67,77297;0;3
2024-06-12 15:00:00Z;67,60529;0;3
2024-06-12 16:00:00Z;67,59131;0;3
2024-06-12 17:00:00Z;67,70309;0;3
2024-06-12 18:00:00Z;67,91288;0;3
2024-06-12 19:00:00Z;68,12294;0;3
2024-06-12 20:00:00Z;68,24911;0;3
2024-06-12 21:00:00Z;68,38949;0;3
2024-06-12 22:00:00Z;68,69874;0;3
2024-06-12 23:00:00Z;69,0368;0;3
2024-06-13 00:00:00Z;69,36146;0;3
2024-06-13 01:00:00Z;69,60188;0;3
2024-06-13 02:00:00Z;69,82853;0;3
2024-06-13 03:00:00Z;70,05552;0;3
2024-06-13 04:00:00Z;70,28286;0;3
2024-06-13 05:00:00Z;70,48203;0;3
2024-06-13 06:00:00Z;70,51048;0;3
2024-06-13 07:00:00Z;70,51048;0;3
2024-06-13 08:00:00Z;70,49624;0;3
2024-06-13 09:00:00Z;70,41084;0;3
2024-06-13 10:00:00Z;70,36816;0;3
2024-06-13 11:00:00Z;70,15496;0;3
2024-06-13 12:00:00Z;69,82858;0;3
2024-06-13 13:00:00Z;69,46053;0;3
2024-06-13 14:00:00Z;68,96635;0;3
2024-06-13 15:00:00Z;68,67061;0;3
2024-06-13 16:00:00Z;68,26326;0;3
2024-06-13 17:00:00Z;67,89897;0;3
2024-06-13 18:00:00Z;67,46585;0;3
2024-06-13 19:00:00Z;67,02007;0;3
2024-06-13 20:00:00Z;66,57565;0;3
2024-06-13 21:00:00Z;66,1326;0;3
2024-06-13 22:00:00Z;65,69093;0;3
2024-06-13 23:00:00Z;65,23692;0;3
2024-06-14 00:00:00Z;64,72954;0;3
2024-06-14 01:00:00Z;64,36042;0;3
2024-06-14 02:00:00Z;63,92436;0;3
2024-06-14 03:00:00Z;63,39471;0;3
2024-06-14 04:00:00Z;62,867;0;3
2024-06-14 05:00:00Z;62,40866;0;3
2024-06-14 06:00:00Z;61,88488;0;3
2024-06-14 07:00:00Z;61,36303;0;3
2024-06-14 08:00:00Z;60,90981;0;3
2024-06-14 09:00:00Z;60,41833;0;3
2024-06-14 10:00:00Z;60,04765;0;3
2024-06-14 11:00:00Z;59,54636;0;3
2024-06-14 12:00:00Z;59,03376;0;3
2024-06-14 13:00:00Z;58,60163;0;3
2024-06-14 14:00:00Z;58,17106;0;3
2024-06-14 15:00:00Z;57,67702;0;3
2024-06-14 16:00:00Z;57,22376;0;3
2024-06-14 17:00:00Z;56,65623;0;3
2024-06-14 18:00:00Z;56,25776;0;3
2024-06-14 19:00:00Z;56,12948;0;3
