#Evangervatn, 62.115.0, Vannstand, time
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
2024-06-06 11:00:00Z;9,501751;1;3
2024-06-06 12:00:00Z;9,494502;1;3
2024-06-06 13:00:00Z;9,492382;1;3
2024-06-06 14:00:00Z;9,510512;1;3
2024-06-06 15:00:00Z;9,528007;1;3
2024-06-06 16:00:00Z;9,537251;1;3
2024-06-06 17:00:00Z;9,534751;1;3
2024-06-06 18:00:00Z;9,528502;1;3
2024-06-06 19:00:00Z;9,519003;1;3
2024-06-06 20:00:00Z;9,508878;1;3
2024-06-06 21:00:00Z;9,498004;1;3
2024-06-06 22:00:00Z;9,486754;1;3
2024-06-06 23:00:00Z;9,474255;1;3
2024-06-07 00:00:00Z;9,462505;1;3
2024-06-07 01:00:00Z;9,44863;1;3
2024-06-07 02:00:00Z;9,437879;1;3
2024-06-07 03:00:00Z;9,427004;1;3
2024-06-07 04:00:00Z;9,416503;1;3
2024-06-07 05:00:00Z;9,409126;1;3
2024-06-07 06:00:00Z;9,402502;1;3
2024-06-07 07:00:00Z;9,392879;1;3
2024-06-07 08:00:00Z;9,382378;1;3
2024-06-07 09:00:00Z;9,374251;1;3
2024-06-07 10:00:00Z;9,367003;1;3
2024-06-07 11:00:00Z;9,351769;1;3
2024-06-07 12:00:00Z;9,321911;1;3
2024-06-07 13:00:00Z;9,290277;1;3
2024-06-07 14:00:00Z;9,268384;1;3
2024-06-07 15:00:00Z;9,262501;1;3
2024-06-07 16:00:00Z;9,261375;1;3
2024-06-07 17:00:00Z;9,257751;1;3
2024-06-07 18:00:00Z;9,257001;1;3
2024-06-07 19:00:00Z;9,251002;1;3
2024-06-07 20:00:00Z;9,244002;1;3
2024-06-07 21:00:00Z;9,236629;1;3
2024-06-07 22:00:00Z;9,227253;1;3
2024-06-07 23:00:00Z;9,219252;1;3
2024-06-08 00:00:00Z;9,212502;1;3
2024-06-08 01:00:00Z;9,203004;1;3
2024-06-08 02:00:00Z;9,192755;1;3
2024-06-08 03:00:00Z;9,181379;1;3
2024-06-08 04:00:00Z;9,171629;1;3
2024-06-08 05:00:00Z;9,160006;1;3
2024-06-08 06:00:00Z;9,147135;1;3
2024-06-08 07:00:00Z;9,127153;1;3
2024-06-08 08:00:00Z;9,094429;1;3
2024-06-08 09:00:00Z;9,057175;1;3
2024-06-08 10:00:00Z;9,025543;1;3
2024-06-08 11:00:00Z;8,992792;1;3
2024-06-08 12:00:00Z;8,964159;1;3
2024-06-08 13:00:00Z;8,938397;1;3
2024-06-08 14:00:00Z;8,920639;1;3
2024-06-08 15:00:00Z;8,90239;1;3
2024-06-08 16:00:00Z;8,888756;1;3
2024-06-08 17:00:00Z;8,892629;1;3
2024-06-08 18:00:00Z;8,902379;1;3
2024-06-08 19:00:00Z;8,907377;1;3
2024-06-08 20:00:00Z;8,904505;1;3
2024-06-08 21:00:00Z;8,914255;1;3
2024-06-08 22:00:00Z;8,920127;1;3
2024-06-08 23:00:00Z;8,91189;1;3
